X2,X19,X20,X21,X27,X37,X41,X42,X43,X47,X49,X50,X56,X64,X67,X68,X69,X70,X72,X76,classe
0.4449,0.5642,0.5496,0.6969,0.5731,0.4499,0.4311,0.4701,0.429,0.4622,0.5305,0.448,0.7546,0.3329,0.3591,0.4722,0.5261,0.5576,0.6942,0.5279,GO0003924@GO0005798@GO0005829@GO0006888@GO0006891
0.3978,0.6115,0.4504,0.6969,0.6005,0.2791,0.2988,0.4753,0.3202,0.4863,0.6434,0.5973,0.3328,0.3033,0.4945,0.7222,0.6569,0.7455,0.5468,0.3578,GO0003735@GO0005843@GO0006412@GO0000028@GO0000723
0.3078,0.527,0.4466,0.4469,0.6074,0.4498,0.5412,0.5718,0.5936,0.5974,0.4928,0.267,0.7143,0.437,0.4503,0.6111,0.4542,0.6788,0.6295,0.4381,GO0004842@GO0005634@GO0005737@GO0000209@GO0006513
0.3441,0.7162,0.6527,0.8813,0.9353,0.5924,0.6541,0.4518,0.2833,0.4573,0.6111,0.4774,0.7697,0.3252,0.2707,0.4691,0.3529,0.6303,0.7842,0.522,GO0004857@GO0005634@GO0005737@GO0007005@GO0006974
0.6331,0.4692,0.3893,0.3719,0.5612,0.3153,0.5294,0.4635,0.5887,0.8116,0.6129,0.4751,0.6269,0.5206,0.5055,0.4352,0.415,0.5455,0.4784,0.5953,GO0004033@GO0005634@GO0005737@GO0019568@GO0042843@GO0009651
0.4194,0.5236,0.5115,0.5312,0.4896,0.2972,0.4659,0.5765,0.4631,0.5201,0.5735,0.5407,0.605,0.3368,0.4917,0.5525,0.4379,0.5576,0.6079,0.4604,GO0000033@GO0005575@GO0006493
0.3508,0.4966,0.4847,0.4781,0.6212,0.4036,0.4588,0.5106,0.2685,0.4783,0.5358,0.4593,0.7412,0.4254,0.5552,0.534,0.5915,0.6121,0.5252,0.3196,GO0004129@GO0005751@GO0005739@GO0006123
0.457,0.4865,0.6031,0.6875,0.545,0.4116,0.4871,0.5529,0.4975,0.3478,0.5932,0.5226,0.7462,0.3792,0.4171,0.534,0.4902,0.5727,0.5576,0.4223,GO0005486@GO0005783@GO0005737@GO0005887@GO0006906@GO0006893
0.3737,0.5372,0.458,0.6125,0.5242,0.3574,0.2494,0.5129,0.3916,0.4461,0.5968,0.4955,0.7361,0.3252,0.442,0.5309,0.5163,0.5152,0.6259,0.5572,GO0016532@GO0005743@GO0005829@GO0015680
0.4301,0.4595,0.5153,0.5438,0.5797,0.5582,0.5059,0.3788,0.5099,0.4734,0.5305,0.5,0.6487,0.2661,0.3785,0.4969,0.5392,0.6424,0.518,0.4428,GO0003674@GO0005783@GO0000329@GO0006506@GO0030026
0.3306,0.4426,0.4466,0.4875,0.5289,0.494,0.5012,0.5529,0.633,0.5217,0.5717,0.3688,0.7798,0.2931,0.4807,0.6296,0.5621,0.6303,0.536,0.349,GO0005100@GO0004871@GO0005622@GO0000750@GO0007264@GO0030468@GO0007015@GO0001403@GO0007124@GO0007118@GO0007119
0.3925,0.5101,0.4466,0.6281,0.5219,0.4618,0.4471,0.6047,0.3522,0.3414,0.6613,0.5611,0.6672,0.4781,0.4641,0.5185,0.5392,0.6364,0.5576,0.3754,GO0003674@GO0005739@GO0005737@GO0000747
0.3952,0.5,0.4275,0.5937,0.5722,0.4524,0.4379,0.4736,0.4513,0.4831,0.5932,0.5837,0.6437,0.2943,0.442,0.6327,0.6242,0.7303,0.5755,0.4516,GO0015173@GO0005886@GO0000723@GO0015801
0.4032,0.4865,0.4008,0.6437,0.6605,0.4496,0.4836,0.5388,0.4301,0.3945,0.6953,0.6041,0.7092,0.3021,0.4254,0.7222,0.683,0.7485,0.5396,0.3812,GO0003999@GO0005737@GO0008150
0.5336,0.4662,0.6107,0.5187,0.6143,0.5884,0.4071,0.4659,0.2709,0.4026,0.6864,0.69,0.7042,0.2738,0.4613,0.5957,0.598,0.6121,0.536,0.4663,GO0008526@GO0005739@GO0005792@GO0005737@GO0005829@GO0030433@GO0007047@GO0015914
0.4556,0.4932,0.4809,0.5562,0.4226,0.4538,0.2541,0.5553,0.4163,0.3849,0.6254,0.5679,0.7378,0.4447,0.4972,0.5247,0.5,0.6636,0.4748,0.4135,GO0000163@GO0005847@GO0000164@GO0005730@GO0005816@GO0005935@GO0001400@GO0007114@GO0005977@GO0030846@GO0030847@GO0016576@GO0006365@GO0007059@GO0000903@GO0006873@GO0007126@GO0007094@GO0030437@GO0009408@GO0006109
0.3858,0.4628,0.4275,0.5062,0.7206,0.5622,0.4776,0.3859,0.5468,0.5105,0.6308,0.5611,0.7008,0.2995,0.721,0.5432,0.4967,0.6061,0.5791,0.3666,GO0003674@GO0005783@GO0008150
0.3199,0.3784,0.4618,0.3281,0.5854,0.4914,0.4705,0.4805,0.5154,0.6296,0.6828,0.6403,0.5916,0.3715,0.4862,0.6204,0.4444,0.6667,0.5504,0.4135,GO0003674@GO0005575@GO0009228
0.4425,0.5642,0.4733,0.5656,0.6559,0.5181,0.4282,0.4706,0.5172,0.3623,0.7061,0.7059,0.6454,0.2699,0.3867,0.5833,0.6013,0.6636,0.705,0.4106,GO0008574@GO0005868@GO0005881@GO0030473
0.5739,0.4764,0.313,0.5187,0.3741,0.4598,0.2824,0.3247,0.3892,0.4992,0.8907,0.6652,0.7933,0.2674,0.5028,0.787,0.8725,0.7818,0.554,0.2434,GO0003893@GO0008622@GO0005634@GO0005657@GO0005737@GO0006289@GO0006298@GO0006272@GO0006273
0.5242,0.473,0.5,0.5594,0.5889,0.4438,0.2965,0.4118,0.4458,0.4911,0.5735,0.509,0.637,0.3406,0.4227,0.5586,0.5817,0.5909,0.5863,0.5308,GO0003712@GO0005634@GO0006367
0.3936,0.5101,0.4122,0.6469,0.4503,0.4538,0.4235,0.4682,0.4877,0.6457,0.7061,0.5,0.5832,0.4512,0.4337,0.5586,0.4902,0.6545,0.5576,0.3636,GO0003674@GO0005575@GO0008150
0.461,0.5169,0.4275,0.6969,0.4388,0.3353,0.0659,0.2871,0.1478,0.4235,0.6613,0.5747,0.7983,0.4357,0.3867,0.7037,0.585,0.6182,0.5072,0.4047,GO0005048@GO0005786@GO0005634@GO0006617@GO0045047
0.4704,0.473,0.374,0.4938,0.612,0.5602,0.6588,0.5106,0.6207,0.525,0.6272,0.5611,0.637,0.3419,0.3978,0.5031,0.5392,0.6182,0.5468,0.4428,GO0016758@GO0005783@GO0006488
0.3777,0.5,0.5954,0.5219,0.7552,0.5783,0.6024,0.3341,0.5345,0.4976,0.4767,0.4231,0.7563,0.4692,0.5028,0.4599,0.4869,0.5758,0.4964,0.4721,GO0004672@GO0005634@GO0005886@GO0005737@GO0006873@GO0000082@GO0015846@GO0008361
0.2782,0.3682,0.4809,0.5875,0.5866,0.5723,0.5671,0.5482,0.5911,0.562,0.647,0.5204,0.6319,0.2712,0.5304,0.6975,0.6144,0.6121,0.5394,0.2991,GO0008934@GO0005634@GO0005737@GO0046855
0.457,0.4358,0.4122,0.5094,0.612,0.506,0.5176,0.5647,0.4384,0.4767,0.7204,0.5407,0.6958,0.3188,0.5221,0.6636,0.6438,0.6606,0.4748,0.2874,GO0004798@GO0009041@GO0005634@GO0005737@GO0006227@GO0006233@GO0006235@GO0006261@GO0006280@GO0006281@GO0006276
0.4503,0.5642,0.6718,0.4469,0.7575,0.5161,0.4588,0.3553,0.4877,0.5137,0.5735,0.4502,0.6588,0.3817,0.453,0.4784,0.5294,0.6515,0.5468,0.4633,GO0004012@GO0015662@GO0030137@GO0005768@GO0005794@GO0000139@GO0007033@GO0006897@GO0006890
0.3804,0.4797,0.4656,0.5125,0.5866,0.4357,0.4,0.3247,0.4655,0.5282,0.6165,0.5973,0.5815,0.2275,0.3978,0.5988,0.6275,0.6545,0.6583,0.4604,GO0003674@GO0016020@GO0006486@GO0006621
0.4032,0.4291,0.5763,0.4969,0.5718,0.4272,0.5694,0.5,0.4281,0.4348,0.5753,0.4072,0.7697,0.374,0.3453,0.4228,0.5196,0.6394,0.5827,0.5161,GO0003735@GO0003723@GO0005763@GO0005739@GO0006412@GO0000028
0.3858,0.4764,0.645,0.4875,0.5566,0.4237,0.3529,0.48,0.1749,0.4911,0.5681,0.5475,0.6034,0.3213,0.6188,0.7407,0.634,0.6333,0.5216,0.3607,GO0003701@GO0000120@GO0006360
0.5134,0.4628,0.3817,0.5719,0.5889,0.1325,0.2824,0.4541,0.1601,0.4316,0.5753,0.3846,0.7479,0.5463,0.4641,0.4475,0.4412,0.5697,0.5108,0.4575,GO0003674@GO0008541@GO0006511
0.4059,0.3919,0.5191,0.5187,0.5173,0.4639,0.4424,0.5953,0.564,0.4895,0.5806,0.5317,0.5983,0.4383,0.4613,0.5031,0.5523,0.5788,0.4712,0.3343,GO0016538@GO0016251@GO0005675@GO0005739@GO0006367@GO0007070
0.4785,0.5203,0.4771,0.5469,0.5813,0.4413,0.4252,0.4499,0.4298,0.438,0.6416,0.5317,0.7933,0.3355,0.4199,0.5154,0.5359,0.5939,0.5755,0.4692,GO0004496@GO0005829@GO0006696
0.371,0.473,0.458,0.5187,0.5774,0.6024,0.3388,0.5482,0.5099,0.4622,0.5627,0.4864,0.7042,0.4987,0.384,0.5062,0.4869,0.4909,0.5288,0.4663,GO0005198@GO0005885@GO0000001@GO0000147
