X19,X20,X21,X27,X29,X37,X41,X42,X43,X47,X49,X50,X51,X56,X67,X68,X69,X70,X72,X76,classe
0.4426,0.7977,0.4781,0.5566,0.4575,0.51,0.4894,0.48,0.5616,0.4718,0.6039,0.509,0.5202,0.6639,0.5193,0.4877,0.5915,0.5818,0.5719,0.2903,GO0003709@GO0000127@GO0005739@GO0006384
0.3953,0.6794,0.6156,0.5982,0.5607,0.4739,0.5082,0.4235,0.4926,0.5652,0.6111,0.3914,0.535,0.6689,0.558,0.5988,0.5948,0.7061,0.3993,0.3754,GO0003674@GO0016021@GO0042175@GO0006997@GO0007126@GO0030437
0.5574,0.5191,0.5719,0.2841,0.4717,0.3896,0.4047,0.5529,0.3202,0.6361,0.5789,0.4412,0.5053,0.7731,0.558,0.6019,0.4444,0.4515,0.6367,0.5748,GO0004408@GO0005758@GO0005739@GO0018063
0.5236,0.5458,0.5969,0.552,0.3785,0.4076,0.4352,0.4047,0.3498,0.5024,0.672,0.5068,0.5478,0.7849,0.4503,0.5031,0.5752,0.5939,0.723,0.5015,GO0003674@GO0030134@GO0030176@GO0030173@GO0006888
0.5439,0.5496,0.4938,0.6143,0.5385,0.4237,0.4894,0.5129,0.4877,0.5169,0.6111,0.4955,0.5605,0.7815,0.5856,0.5926,0.5327,0.7,0.5755,0.3343,GO0003723@GO0005847@GO0030846@GO0030847@GO0006379@GO0006378@GO0008033
0.4932,0.645,0.625,0.6882,0.5992,0.5643,0.4988,0.5576,0.7882,0.4734,0.6165,0.4661,0.4161,0.8118,0.6547,0.3735,0.3235,0.3606,0.5144,0.6305,GO0016616@GO0005634@GO0005737@GO0008150
0.8818,1.0,0.5594,0.8037,0.3846,0.7088,0.3129,0.2024,0.2167,0.3704,0.6918,0.6561,0.6964,0.6437,0.2099,0.4568,0.6961,0.7848,0.8381,0.4135,GO0003677@GO0000788@GO0006281@GO0006333
0.473,0.6565,0.4125,0.7344,0.5992,0.6004,0.5153,0.6353,0.7118,0.5411,0.595,0.5656,0.6008,0.7126,0.4392,0.3272,0.3791,0.5242,0.7842,0.6246,GO0003986@GO0005739@GO0005829@GO0006083@GO0006084
0.2601,0.6832,0.5031,0.5621,0.5458,0.4893,0.5976,0.4885,0.4397,0.4622,0.6953,0.5498,0.5265,0.6437,0.4807,0.5864,0.5523,0.6848,0.5647,0.3255,GO0016563@GO0016602@GO0005634@GO0006350@GO0006109
0.5574,0.584,0.6812,0.5889,0.6235,0.3896,0.2024,0.6118,0.202,0.4461,0.6559,0.4955,0.5626,0.7529,0.6326,0.784,0.7974,0.6758,0.4748,0.2551,GO0003674@GO0005840@GO0005634@GO0005730@GO0042254
0.3277,0.4847,0.3781,0.4226,0.4963,0.4598,0.4235,0.4424,0.5813,0.4187,0.9265,0.6176,0.4798,0.8034,0.5387,0.8056,0.7843,0.797,0.5899,0.2581,GO0003889@GO0005635@GO0005658@GO0005634@GO0006270@GO0006273@GO0016233
0.4842,0.6374,0.3594,0.5781,0.5366,0.4718,0.4551,0.4566,0.4884,0.4992,0.3566,0.3688,0.4628,0.7378,0.7265,0.7191,0.7222,0.7152,0.8777,0.5865,GO0003674@GO0005575@GO0007047
